VDN:,83623-83628;83630-83631;83679-83681;83683-83684;Nov_RONA_180_premium;83724-83728;83739-83740
Date:,11/10/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,209,209,209,208,1,0,0,0,0,:29:14,:01:35,:00:00,:00:08,:01:35,,0,0,0,0,0,0,0,0,0,1,181,8,5,4,5,1,1,0,1,2,99.52,86.60,.48,90.43,.48,92.82,.48,94.74,.48,97.13,.48,10:09:53,:01:51,10:11:44,:09:45,10:21:29,21,1,:02:48,,,,138,70,0,6:48:36,3:21:17,:00:00,:06:25,:03:20,:00:00
11/10/2021,12:00 AM,-,00:15,3,3,3,2,1,0,0,0,0,:00:04,:01:35,:00:00,:00:02,:01:35,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,66.67,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,:03:56,:00:00,:03:56,:00:05,:04:01,0,1,:01:35,,,,0,2,0,:00:00,:03:56,:00:00,:00:00,:00:05,:00:00
11/10/2021,2:00 AM,-,02:15,1,1,1,1,0,0,0,0,0,:00:02,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:01,:00:00,:00:01,:00:03,:00:04,0,1,:00:02,,,,0,1,0,:00:00,:00:01,:00:00,:00:00,:00:03,:00:00
11/10/2021,2:30 AM,-,02:45,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:02,:00:00,:00:02,:00:02,:00:04,0,1,:00:03,,,,0,1,0,:00:00,:00:02,:00:00,:00:00,:00:02,:00:00
11/10/2021,4:45 AM,-,05:00,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:10,:00:00,:00:10,:00:02,:00:12,0,1,:00:04,,,,0,1,0,:00:00,:00:10,:00:00,:00:00,:00:02,:00:00
11/10/2021,7:00 AM,-,07:15,1,1,1,1,0,0,0,0,0,:00:46,:00:00,:00:00,:00:46,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,100.00,.00,:02:56,:00:00,:02:56,:00:03,:02:59,0,1,:00:46,,,,0,1,0,:00:00,:02:56,:00:00,:00:00,:00:03,:00:00
11/10/2021,7:15 AM,-,07:30,1,1,1,1,0,0,0,0,0,:00:07,:00:00,:00:00,:00:07,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:42,:00:00,:03:42,:00:03,:03:45,0,1,:00:07,,,,0,1,0,:00:00,:03:42,:00:00,:00:00,:00:03,:00:00
11/10/2021,8:00 AM,-,08:15,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:14,:00:00,:00:14,:00:05,:00:19,0,1,:00:04,,,,1,0,0,:00:14,:00:00,:00:00,:00:05,:00:00,:00:00
11/10/2021,8:15 AM,-,08:30,6,6,6,6,0,0,0,0,0,:00:19,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:19:11,:00:01,:19:12,:00:18,:19:30,1,1,:00:06,,,,5,1,0,:15:45,:03:26,:00:00,:00:15,:00:03,:00:00
11/10/2021,8:30 AM,-,08:45,4,4,4,4,0,0,0,0,0,:00:14,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:09:45,:00:01,:09:46,:00:12,:09:58,1,1,:00:05,,,,3,1,0,:09:04,:00:41,:00:00,:00:09,:00:03,:00:00
