Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,188,188,185,184,4,0,0,0,0,:33:56,:01:22,:00:00,:00:11,:00:21,,3,0,0,0,0,0,0,1,0,0,155,9,3,3,4,2,2,1,1,4,99.46,83.78,.54,88.65,.54,90.27,.54,91.89,.54,94.05,.54,9:04:48,:00:08,9:04:56,:15:50,9:20:46,15,2,:01:51,,,,53,131,0,3:57:50,5:06:58,:00:00,:08:19,:07:31,:00:00,:03:05
10/31/2021,Nov_180_Premium_queue,11,11,8,8,3,0,0,0,0,:00:37,:00:07,:00:00,:00:05,:00:02,,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:06:32,:00:00,:06:32,:00:24,:06:56,0,1,:00:11,Nov_180 Premium Skil,Nov_Res_Platinum,0,0,8,0,:00:00,:06:32,:00:00,:00:00,:00:24,:00:00,:00:40
10/31/2021,Nov_Bus_Platinum,27,27,27,27,0,0,0,0,0,:05:36,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,21,2,0,1,2,0,0,0,0,1,100.00,77.78,.00,85.19,.00,85.19,.00,88.89,.00,96.30,.00,1:03:35,:00:02,1:03:37,:01:26,1:05:03,1,2,:01:34,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,0,27,0,:00:00,1:03:35,:00:00,:00:00,:01:26,:00:00,:02:34
10/31/2021,Nov_Bus_Gold,36,36,36,36,0,0,0,0,0,:03:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0,0,0,0,100.00,94.44,.00,97.22,.00,97.22,.00,100.00,.00,100.00,.00,1:28:50,:00:01,1:28:51,:01:41,1:30:32,4,1,:00:33,Nov_Bus_Platinum/Gol,Nov_Res_Platinum,0,0,36,0,:00:00,1:28:50,:00:00,:00:00,:01:41,:00:00,:02:33
10/31/2021,Nov_Bus_Silver,19,19,19,19,0,0,0,0,0,:01:18,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:54:50,:00:00,:54:50,:01:03,:55:53,0,1,:00:09,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,19,0,:00:00,:54:50,:00:00,:00:00,:01:03,:00:00,:02:57
10/31/2021,Nov_Bus_Bronze,4,4,4,4,0,0,0,0,0,:00:43,:00:00,:00:00,:00:11,,,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,100.00,50.00,.00,75.00,.00,100.00,.00,100.00,.00,100.00,.00,:13:55,:00:00,:13:55,:00:14,:14:09,0,1,:00:21,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,4,0,:00:00,:13:55,:00:00,:00:00,:00:14,:00:00,:03:40
10/31/2021,Nov_Bus_New,2,2,2,2,0,0,0,0,0,:00:07,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:22,:00:00,:01:22,:00:04,:01:26,0,1,:00:04,Nov_Bus_S_B_N,Nov_Res_Platinum,0,0,2,0,:00:00,:01:22,:00:00,:00:00,:00:04,:00:00,:00:44
10/31/2021,Nov_Decision_maker,20,20,20,19,1,0,0,0,0,:03:55,:01:15,:00:00,:00:12,:01:15,,0,0,0,0,0,0,0,1,0,0,15,2,0,0,1,0,0,1,0,0,95.00,75.00,5.00,85.00,5.00,85.00,5.00,85.00,5.00,90.00,5.00,:53:19,:00:02,:53:21,:01:44,:55:05,5,1,:01:16,Nov_Decision_maker,Nov_Res_Platinum,0,0,19,0,:00:00,:53:19,:00:00,:00:00,:01:44,:00:00,:02:56
10/31/2021,Nov_Public/tender_sk,7,7,7,7,0,0,0,0,0,:00:37,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:16:19,:00:01,:16:20,:00:22,:16:42,1,1,:00:08,Nov_Public/Tender,Nov_Res_Platinum,0,0,7,0,:00:00,:16:19,:00:00,:00:00,:00:22,:00:00,:02:25
10/31/2021,Nov_Transfer_BCC1,2,2,2,2,0,0,0,0,0,:00:09,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:40,:00:00,:01:40,:00:09,:01:49,0,1,:00:06,Nov_Transfer_BCC1,Nov_Res_Platinum,0,0,2,0,:00:00,:01:40,:00:00,:00:00,:00:09,:00:00,:00:54
10/31/2021,Nov_DVB_Bus_Gold,7,7,7,7,0,0,0,0,0,:04:11,:00:00,:00:00,:00:36,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,1,0,100.00,42.86,.00,57.14,.00,57.14,.00,57.14,.00,57.14,.00,:33:30,:00:00,:33:30,:00:39,:34:09,0,1,:01:30,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,7,0,0,:33:30,:00:00,:00:00,:00:39,:00:00,:00:00,:05:23
10/31/2021,Nov_DVB_Bus_Platinum,5,5,5,5,0,0,0,0,0,:02:10,:00:00,:00:00,:00:26,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,100.00,80.00,.00,80.00,.00,80.00,.00,80.00,.00,80.00,.00,:31:12,:00:01,:31:13,:00:27,:31:40,1,1,:01:51,Nov_DVB_Bus_Platinum,Nov_Res_Tech_Platinu,0,5,0,0,:31:12,:00:00,:00:00,:00:27,:00:00,:00:00,:06:41
10/31/2021,Nov_DVB_Bus_Silver,5,5,5,5,0,0,0,0,0,:02:06,:00:00,:00:00,:00:25,,,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,100.00,40.00,.00,40.00,.00,60.00,.00,80.00,.00,100.00,.00,:20:35,:00:00,:20:35,:00:27,:21:02,0,1,:00:47,Nov_DVB_Bus_All,Nov_Res_Tech_Other_s,0,5,0,0,:20:35,:00:00,:00:00,:00:27,:00:00,:00:00,:04:32
10/31/2021,Nov_Fix_Bus_Gold,11,11,11,11,0,0,0,0,0,:03:20,:00:00,:00:00,:00:18,,,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,1,100.00,72.73,.00,81.82,.00,81.82,.00,81.82,.00,81.82,.00,:29:53,:00:00,:29:53,:02:48,:32:41,0,1,:01:33,Nov_Fix_Bus_All,Nov_Res_Tech_Other_s,0,11,0,0,:29:53,:00:00,:00:00,:02:48,:00:00,:00:00,:03:01
10/31/2021,Nov_Fix_Bus_New,3,3,3,3,0,0,0,0,0,:00:14,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:22:14,:00:00,:22:14,:00:17,:22:31,0,1,:00:08,Nov_Fix_Bus_All,Nov_Res_Tech_Other_s,0,3,0,0,:22:14,:00:00,:00:00,:00:17,:00:00,:00:00,:07:29
10/31/2021,Nov_Fix_Bus_Platinum,9,9,9,9,0,0,0,0,0,:00:51,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:44:55,:00:00,:44:55,:01:25,:46:20,1,1,:00:09,Nov_Fix_Bus_Platinum,Nov_Res_Tech_Platinu,0,9,0,0,:44:55,:00:00,:00:00,:01:25,:00:00,:00:00,:05:05
10/31/2021,Nov_Fix_Bus_Silver,2,2,2,2,0,0,0,0,0,:00:09,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:17:11,:00:00,:17:11,:00:12,:17:23,0,1,:00:05,Nov_Fix_Bus_All,Nov_Res_Tech_Other_s,0,2,0,0,:17:11,:00:00,:00:00,:00:12,:00:00,:00:00,:08:40
10/31/2021,Nov_DVB_Public,3,3,3,3,0,0,0,0,0,:01:47,:00:00,:00:00,:00:36,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,:22:58,:00:00,:22:58,:01:15,:24:13,0,1,:01:34,Nov_DVB_Bus_Platinum,0,0,3,0,0,:22:58,:00:00,:00:00,:01:15,:00:00,:00:00,:08:15
10/31/2021,Nov_Fix_Public,6,6,6,6,0,0,0,0,0,:01:48,:00:00,:00:00,:00:18,,,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,100.00,66.67,.00,66.67,.00,83.33,.00,83.33,.00,83.33,.00,:06:30,:00:01,:06:31,:00:36,:07:07,2,1,:01:01,Nov_Fix_Bus_Platinum,0,0,6,0,0,:06:30,:00:00,:00:00,:00:36,:00:00,:00:00,:01:23
10/31/2021,Nov_DM_tech,5,5,5,5,0,0,0,0,0,:00:50,:00:00,:00:00,:00:10,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:35,:00:00,:05:35,:00:16,:05:51,0,1,:00:39,Nov_DM_tech,Nov_Res_Platinum,0,0,5,0,:00:00,:05:35,:00:00,:00:00,:00:16,:00:00,:01:17
10/31/2021,Nov_Bus_KLS_New,2,2,2,2,0,0,0,0,0,:00:15,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,100.00,50.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:01,:00:00,:01:01,:00:08,:01:09,0,1,:00:11,Nov_Bus_KLS_SBN,Nov_Res_Platinum,0,0,2,0,:00:00,:01:01,:00:00,:00:00,:00:08,:00:00,:00:38
10/31/2021,Nov_Fix_Bus_KLS_Plat,2,2,2,2,0,0,0,0,0,:00:08,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:08:52,:00:00,:08:52,:00:13,:09:05,0,1,:00:04,Nov_Fix_Bus_KLS_PG,Nov_Res_Tech_Platinu,0,2,0,0,:08:52,:00:00,:00:00,:00:13,:00:00,:00:00,:04:30
