Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,1275,1270,1268,1231,39,5,5,5,0,4:10:30,:56:06,:04:47,:00:12,:01:26,:00:57,2,1,2,6,6,0,0,5,5,12,1042,41,34,22,22,17,14,3,3,33,97.08,82.18,2.92,85.41,2.84,88.09,2.68,89.83,2.21,91.56,1.74,62:33:46,:03:47,62:37:33,1:03:54,63:41:27,102,4,:05:55,,,,1231,0,0,62:33:46,:00:00,:00:00,1:03:54,:00:00,:00:00,:03:11
10/27/2021,Nov_Res_Platinum,157,157,156,153,4,0,0,0,0,:18:27,:01:34,:00:00,:00:07,:00:24,,1,1,0,1,1,0,0,0,0,0,138,3,4,3,1,2,1,0,0,1,98.08,88.46,1.92,90.38,1.28,92.95,1.28,94.87,.64,95.51,.00,8:44:29,:00:01,8:44:30,:07:51,8:52:21,16,2,:01:38,Nov_Res_Platinum,0,0,153,0,0,8:44:29,:00:00,:00:00,:07:51,:00:00,:00:00,:03:28
10/27/2021,Nov_Res_Gold,136,136,136,133,3,0,0,0,0,:25:27,:04:53,:00:00,:00:11,:01:38,,0,0,0,0,1,0,0,0,1,1,111,4,3,4,4,3,1,0,0,3,97.79,81.62,2.21,84.56,2.21,86.76,2.21,89.71,2.21,92.65,1.47,6:01:08,:00:05,6:01:13,:06:11,6:07:24,20,2,:02:46,Nov_Res_Other_segmen,0,0,133,0,0,6:01:08,:00:00,:00:00,:06:11,:00:00,:00:00,:02:53
10/27/2021,Nov_Res_Silver,216,215,215,207,8,1,1,1,0,:45:13,:23:27,:00:21,:00:13,:02:56,:00:21,0,0,1,0,0,0,0,1,0,6,185,4,3,0,3,1,2,1,0,8,96.28,86.05,3.72,87.91,3.72,89.30,3.26,89.30,3.26,90.70,3.26,10:25:06,:01:49,10:26:55,:10:30,10:37:25,17,3,:05:55,Nov_Res_Other_segmen,0,0,207,0,0,10:25:06,:00:00,:00:00,:10:30,:00:00,:00:00,:03:13
10/27/2021,Nov_Res_Bronze,214,212,212,206,6,2,2,2,0,:45:42,:07:31,:03:44,:00:13,:01:15,:01:52,0,0,0,1,2,0,0,0,2,1,171,10,4,3,6,2,1,0,2,7,97.17,80.66,2.83,85.38,2.83,87.26,2.83,88.68,2.36,91.51,1.42,9:59:44,:01:41,10:01:25,:10:37,10:12:02,11,3,:04:13,Nov_Res_Other_segmen,0,0,206,0,0,9:59:44,:00:00,:00:00,:10:37,:00:00,:00:00,:03:05
10/27/2021,Nov_Res_New,24,24,24,22,2,0,0,0,0,:09:27,:01:52,:00:00,:00:26,:00:56,,0,0,0,1,0,0,0,1,0,0,16,1,0,1,1,1,0,0,0,2,91.67,66.67,8.33,70.83,8.33,70.83,8.33,75.00,4.17,79.17,4.17,1:21:22,:00:01,1:21:23,:00:57,1:22:20,1,2,:04:21,Nov_Res_Other_segmen,0,0,22,0,0,1:21:22,:00:00,:00:00,:00:57,:00:00,:00:00,:03:52
10/27/2021,Nov_Res_Tech_Platinu,49,49,49,48,1,0,0,0,0,:06:08,:01:36,:00:00,:00:08,:01:36,,0,0,0,0,0,0,0,0,0,1,43,0,1,2,1,0,1,0,0,0,97.96,87.76,2.04,87.76,2.04,89.80,2.04,93.88,2.04,95.92,2.04,2:20:56,:00:00,2:20:56,:03:20,2:24:16,3,1,:01:36,Nov_Res_Tech_Platinu,0,0,48,0,0,2:20:56,:00:00,:00:00,:03:20,:00:00,:00:00,:03:02
10/27/2021,Nov_Res_Tech_Gold,50,50,50,50,0,0,0,0,0,:06:25,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,45,1,3,0,0,0,0,0,0,1,100.00,90.00,.00,92.00,.00,98.00,.00,98.00,.00,98.00,.00,2:02:06,:00:02,2:02:08,:02:24,2:04:32,7,1,:02:18,Nov_Res_Tech_Other_s,0,0,50,0,0,2:02:06,:00:00,:00:00,:02:24,:00:00,:00:00,:02:34
10/27/2021,Nov_Res_Tech_Silver,73,73,73,71,2,0,0,0,0,:22:27,:02:41,:00:00,:00:19,:01:20,,0,0,0,0,0,0,0,1,1,0,55,2,3,3,0,1,2,1,1,3,97.26,75.34,2.74,78.08,2.74,82.19,2.74,86.30,2.74,86.30,2.74,3:33:22,:00:01,3:33:23,:03:36,3:36:59,5,2,:04:04,Nov_Res_Tech_Other_s,0,0,71,0,0,3:33:22,:00:00,:00:00,:03:36,:00:00,:00:00,:03:16
10/27/2021,Nov_Res_Tech_Bronze,66,66,65,63,3,0,0,0,0,:13:10,:02:04,:00:00,:00:13,:00:41,,1,0,0,1,0,0,0,0,0,1,53,2,1,1,1,1,2,1,0,1,96.92,81.54,3.08,84.62,3.08,86.15,3.08,87.69,1.54,89.23,1.54,3:22:08,:00:02,3:22:10,:03:53,3:26:03,8,2,:02:57,Nov_Res_Tech_Other_s,0,0,63,0,0,3:22:08,:00:00,:00:00,:03:53,:00:00,:00:00,:03:18
10/27/2021,Nov_Res_Tech_New,8,8,8,8,0,0,0,0,0,:05:45,:00:00,:00:00,:00:43,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,100.00,75.00,.00,75.00,.00,75.00,.00,75.00,.00,87.50,.00,:30:49,:00:00,:30:49,:00:20,:31:09,1,1,:04:33,Nov_Res_Tech_Other_s,0,0,8,0,0,:30:49,:00:00,:00:00,:00:20,:00:00,:00:00,:04:34
10/27/2021,Nov_Prospect,155,154,154,148,6,1,1,1,0,:27:39,:06:34,:00:21,:00:11,:01:06,:00:21,0,0,1,0,2,0,0,1,0,2,122,7,6,1,4,2,3,0,0,3,96.10,79.22,3.90,83.77,3.90,87.66,3.25,88.31,3.25,90.91,1.95,7:00:47,:00:04,7:00:51,:07:50,7:08:41,10,4,:02:32,Nov_Prospect,0,0,148,0,0,7:00:47,:00:00,:00:00,:07:50,:00:00,:00:00,:02:56
10/27/2021,Nov_Prospect_Tech,37,37,37,33,4,0,0,0,0,:06:43,:03:54,:00:00,:00:12,:00:58,,0,0,0,2,0,0,0,1,1,0,29,1,0,0,0,2,0,0,0,1,89.19,78.38,10.81,81.08,10.81,81.08,10.81,81.08,5.41,81.08,5.41,1:37:47,:00:00,1:37:47,:01:30,1:39:17,1,2,:02:41,Nov_Prospect,0,0,33,0,0,1:37:47,:00:00,:00:00,:01:30,:00:00,:00:00,:02:56
10/27/2021,Nov_Transfer_RCC,85,84,84,84,0,1,1,1,0,:15:41,:00:00,:00:21,:00:11,,:00:21,0,0,0,0,0,0,0,0,0,0,64,6,6,4,0,2,1,0,0,1,100.00,76.19,.00,83.33,.00,90.48,.00,95.24,.00,95.24,.00,5:22:59,:00:01,5:23:00,:04:42,5:27:42,2,2,:01:53,Nov_Transfer_RCC,0,0,84,0,0,5:22:59,:00:00,:00:00,:04:42,:00:00,:00:00,:03:59
10/27/2021,Nov_RONA_Res_Other_s,3,3,3,3,0,0,0,0,0,:02:07,:00:00,:00:00,:00:42,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,:06:56,:00:00,:06:56,:00:08,:07:04,0,1,:01:56,Nov_Res_Other_segmen,0,0,3,0,0,:06:56,:00:00,:00:00,:00:08,:00:00,:00:00,:03:01
10/27/2021,Nov_RONA_Prospect,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:29,:00:00,:02:29,:00:03,:02:32,0,1,:00:04,Nov_Prospect,0,0,1,0,0,:02:29,:00:00,:00:00,:00:03,:00:00,:00:00,:02:33
