Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,111,111,110,107,4,0,0,0,0,:17:32,:04:09,:00:00,:00:10,:01:02,,1,0,2,0,0,0,0,0,0,1,98,2,0,0,1,2,1,0,1,2,97.27,89.09,2.73,90.91,2.73,90.91,.91,90.91,.91,91.82,.91,5:09:03,:00:03,5:09:06,:05:32,5:14:38,8,1,:03:14,,,,107,0,0,5:09:03,:00:00,:00:00,:05:32,:00:00,:00:00
11/5/2021,Nov_Pre_Gold,2,2,2,2,0,0,0,0,0,:00:09,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:06:14,:00:01,:06:15,:00:04,:06:19,1,1,:00:05,Nov_Prepaid,0,0,2,0,0,:06:14,:00:00,:00:00,:00:04,:00:00,:00:00
11/5/2021,Nov_Pre_Silver,7,7,7,7,0,0,0,0,0,:00:37,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,100.00,85.71,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:14:04,:00:01,:14:05,:00:18,:14:23,4,1,:00:11,Nov_Prepaid,0,0,7,0,0,:14:04,:00:00,:00:00,:00:18,:00:00,:00:00
11/5/2021,Nov_Pre_Bronze,36,36,36,35,1,0,0,0,0,:07:22,:03:14,:00:00,:00:13,:03:14,,0,0,0,0,0,0,0,0,0,1,30,1,0,0,1,1,0,0,1,1,97.22,83.33,2.78,86.11,2.78,86.11,2.78,86.11,2.78,88.89,2.78,1:42:34,:00:00,1:42:34,:01:43,1:44:17,2,1,:03:14,Nov_Prepaid,0,0,35,0,0,1:42:34,:00:00,:00:00,:01:43,:00:00,:00:00
11/5/2021,Nov_Pre_ New,7,7,7,7,0,0,0,0,0,:02:51,:00:00,:00:00,:00:24,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,100.00,85.71,.00,85.71,.00,85.71,.00,85.71,.00,85.71,.00,:18:18,:00:00,:18:18,:00:17,:18:35,0,1,:02:21,Nov_Prepaid,0,0,7,0,0,:18:18,:00:00,:00:00,:00:17,:00:00,:00:00
11/5/2021,Nov_Pre_Tech_Platinu,2,2,2,2,0,0,0,0,0,:01:08,:00:00,:00:00,:00:34,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:01:44,:00:00,:01:44,:00:08,:01:52,0,1,:01:00,Nov_Prepaid,0,0,2,0,0,:01:44,:00:00,:00:00,:00:08,:00:00,:00:00
11/5/2021,Nov_Pre_Tech_Gold,6,6,6,4,2,0,0,0,0,:00:16,:00:51,:00:00,:00:04,:00:26,,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,66.67,66.67,33.33,66.67,33.33,66.67,.00,66.67,.00,66.67,.00,:21:01,:00:00,:21:01,:00:09,:21:10,0,1,:00:26,Nov_Prepaid,0,0,4,0,0,:21:01,:00:00,:00:00,:00:09,:00:00,:00:00
11/5/2021,Nov_Pre_Tech_Silver,8,8,8,8,0,0,0,0,0,:01:51,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,100.00,87.50,.00,87.50,.00,87.50,.00,87.50,.00,87.50,.00,:31:10,:00:00,:31:10,:00:52,:32:02,0,1,:01:10,Nov_Prepaid,0,0,8,0,0,:31:10,:00:00,:00:00,:00:52,:00:00,:00:00
11/5/2021,Nov_Pre_Tech_Bronze,31,31,31,31,0,0,0,0,0,:02:27,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,1:33:23,:00:01,1:33:24,:01:28,1:34:52,1,1,:00:10,Nov_Prepaid,0,0,31,0,0,1:33:23,:00:00,:00:00,:01:28,:00:00,:00:00
11/5/2021,Nov_Pre_Tech_New,12,12,11,11,1,0,0,0,0,:00:51,:00:04,:00:00,:00:05,:00:04,,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:20:35,:00:00,:20:35,:00:33,:21:08,0,1,:00:06,Nov_Prepaid,0,0,11,0,0,:20:35,:00:00,:00:00,:00:33,:00:00,:00:00
