VDN:,83600-83622;83671-83678
Date:,11/1/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,1801,1800,1789,1684,116,1,1,1,0,12:29:12,3:03:07,:00:21,:00:27,:01:35,:00:21,11,6,8,8,9,8,4,7,7,48,1132,111,72,57,44,34,27,25,20,162,94.13,63.28,5.87,69.48,5.53,73.50,5.09,76.69,4.64,79.15,4.14,81:49:45,:01:31,81:51:16,1:30:30,83:21:46,121,4,:06:12,,,,1684,0,0,81:49:45,:00:00,:00:00,1:30:30,:00:00,:00:00
11/1/2021,12:00 AM,-,00:15,3,3,3,3,0,0,0,0,0,:02:35,:00:00,:00:00,:00:52,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,100.00,33.33,.00,33.33,.00,33.33,.00,66.67,.00,66.67,.00,:06:55,:00:00,:06:55,:00:07,:07:02,0,1,:01:51,,,,3,0,0,:06:55,:00:00,:00:00,:00:07,:00:00,:00:00
11/1/2021,12:15 AM,-,00:30,3,3,2,2,1,0,0,0,0,:00:59,:00:00,:00:00,:00:30,:00:00,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:03:46,:00:00,:03:46,:00:05,:03:51,0,1,:00:56,,,,2,0,0,:03:46,:00:00,:00:00,:00:05,:00:00,:00:00
11/1/2021,12:30 AM,-,00:45,2,2,2,2,0,0,0,0,0,:00:08,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:57,:00:00,:02:57,:00:06,:03:03,0,1,:00:05,,,,2,0,0,:02:57,:00:00,:00:00,:00:06,:00:00,:00:00
11/1/2021,12:45 AM,-,01:00,7,7,6,6,1,0,0,0,0,:01:40,:00:01,:00:00,:00:17,:00:01,,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,100.00,83.33,.00,83.33,.00,83.33,.00,83.33,.00,83.33,.00,:11:13,:00:00,:11:13,:00:17,:11:30,0,1,:01:18,,,,6,0,0,:11:13,:00:00,:00:00,:00:17,:00:00,:00:00
11/1/2021,1:00 AM,-,01:15,1,1,1,1,0,0,0,0,0,:00:54,:00:00,:00:00,:00:54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:02:01,:00:00,:02:01,:00:03,:02:04,0,1,:00:54,,,,1,0,0,:02:01,:00:00,:00:00,:00:03,:00:00,:00:00
11/1/2021,1:30 AM,-,01:45,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:32,:00:00,:04:32,:00:02,:04:34,0,1,:00:04,,,,1,0,0,:04:32,:00:00,:00:00,:00:02,:00:00,:00:00
11/1/2021,2:15 AM,-,02:30,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:18,:00:00,:01:18,:00:03,:01:21,0,1,:00:06,,,,1,0,0,:01:18,:00:00,:00:00,:00:03,:00:00,:00:00
11/1/2021,2:30 AM,-,02:45,1,1,1,1,0,0,0,0,0,:00:06,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:22,:00:00,:02:22,:00:03,:02:25,0,0,:00:06,,,,1,0,0,:02:22,:00:00,:00:00,:00:03,:00:00,:00:00
11/1/2021,2:45 AM,-,03:00,1,1,1,1,0,0,0,0,0,:03:06,:00:00,:00:00,:03:06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:04:33,:00:00,:04:33,:00:02,:04:35,0,1,:03:06,,,,1,0,0,:04:33,:00:00,:00:00,:00:02,:00:00,:00:00
