Date,VDN,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abnadoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoned t,Otherwaiting t,Avg Answering t,Avg Abandoned t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult) ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfer made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t,Avg VDN Time
Totals,,1998,1994,1980,1932,62,4,4,4,0,6:25:36,1:34:16,:05:32,:00:12,:01:31,:01:23,14,3,3,2,4,3,2,5,4,22,1670,62,45,26,23,16,19,11,10,50,97.58,84.34,2.42,87.47,2.27,89.75,2.12,91.06,2.02,92.22,1.82,103:38:51,:02:45,103:41:36,2:21:35,106:03:11,112,4,:09:39,,,,1927,5,0,103:23:09,:15:42,:00:00,2:21:23,:00:12,:00:00,:03:21
10/23/2021,Nov_DVB_Pre_Gold,5,5,4,4,1,0,0,0,0,:00:16,:00:02,:00:00,:00:04,:00:02,,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:13:34,:00:00,:13:34,:00:16,:13:50,0,1,:00:06,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,4,0,0,:13:34,:00:00,:00:00,:00:16,:00:00,:00:00,:02:46
10/23/2021,Nov_RONA_Fix_Res_Pla,2,2,2,2,0,0,0,0,0,:00:29,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,100.00,50.00,.00,50.00,.00,100.00,.00,100.00,.00,100.00,.00,:05:15,:00:00,:05:15,:00:12,:05:27,0,1,:00:23,Nov_Fix_Res_Platinum,Nov_Res_Tech_Platinu,0,2,0,0,:05:15,:00:00,:00:00,:00:12,:00:00,:00:00,:02:52
10/23/2021,Nov_RONA_Res_Other_s,1,1,1,1,0,0,0,0,0,:00:15,:00:00,:00:00,:00:15,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.00,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:57,:00:00,:00:57,:00:02,:00:59,0,1,:00:15,Nov_Res_Other_segmen,0,0,1,0,0,:00:57,:00:00,:00:00,:00:02,:00:00,:00:00,:01:12
10/23/2021,Nov_Transfer_L2,2,2,2,2,0,0,0,0,0,:00:25,:00:00,:00:00,:00:12,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100.00,.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:29,:00:00,:04:29,:00:12,:04:41,0,1,:00:13,Nov_Transfer L2,0,0,2,0,0,:04:29,:00:00,:00:00,:00:12,:00:00,:00:00,:02:27
10/23/2021,Nov_Transfer_L1,94,94,94,90,4,0,0,0,0,:24:50,:08:29,:00:00,:00:17,:02:07,,0,0,0,0,0,0,0,1,0,3,73,1,3,5,2,1,2,0,1,2,95.74,77.66,4.26,78.72,4.26,81.91,4.26,87.23,4.26,89.36,4.26,7:18:19,:00:00,7:18:19,:12:29,7:30:48,0,2,:04:56,Nov_Transfer L1,Nov_Res_Tech_Other_s,0,90,0,0,7:18:19,:00:00,:00:00,:12:29,:00:00,:00:00,:05:01
10/23/2021,Nov_Fix_Prospect,90,90,90,87,3,0,0,0,0,:21:28,:06:11,:00:00,:00:15,:02:04,,0,0,1,0,0,0,0,1,0,1,69,4,1,3,3,1,1,2,0,3,96.67,76.67,3.33,81.11,3.33,82.22,2.22,85.56,2.22,88.89,2.22,5:17:21,:00:02,5:17:23,:18:40,5:36:03,6,1,:04:34,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,86,1,0,5:15:19,:02:02,:00:00,:18:37,:00:03,:00:00,:03:50
10/23/2021,Nov_Fix_Pre_New,2,2,2,2,0,0,0,0,0,:01:31,:00:00,:00:00,:00:46,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,50.00,.00,:04:00,:00:01,:04:01,:00:11,:04:12,1,1,:01:25,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,2,0,0,:04:00,:00:00,:00:00,:00:11,:00:00,:00:00,:02:46
10/23/2021,Nov_Fix_Pre_Bronze,21,21,20,19,2,0,0,0,0,:04:11,:02:03,:00:00,:00:13,:01:02,,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,0,0,1,95.00,85.00,5.00,85.00,5.00,85.00,5.00,85.00,5.00,85.00,5.00,1:28:15,:00:00,1:28:15,:01:37,1:29:52,1,1,:02:02,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,19,0,0,1:28:15,:00:00,:00:00,:01:37,:00:00,:00:00,:04:30
10/23/2021,Nov_Fix_Pre_Silver,2,2,2,2,0,0,0,0,0,:00:08,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:09:48,:00:00,:09:48,:00:12,:10:00,0,1,:00:05,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,2,0,0,:09:48,:00:00,:00:00,:00:12,:00:00,:00:00,:04:58
10/23/2021,Nov_Fix_Res_Silver,87,87,87,84,3,0,0,0,0,:24:20,:04:55,:00:00,:00:17,:01:38,,0,0,0,0,0,0,1,1,0,1,66,4,3,0,2,2,1,0,1,5,96.55,75.86,3.45,80.46,3.45,83.91,3.45,83.91,3.45,86.21,3.45,4:44:49,:00:02,4:44:51,:07:21,4:52:12,7,2,:03:20,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,84,0,0,4:44:49,:00:00,:00:00,:07:21,:00:00,:00:00,:03:37
10/23/2021,Nov_Fix_Res_Platinum,78,78,78,76,2,0,0,0,0,:26:02,:03:47,:00:00,:00:21,:01:54,,0,0,0,1,0,0,0,0,0,1,58,3,1,2,1,2,2,2,0,5,97.44,74.36,2.56,78.21,2.56,79.49,2.56,82.05,1.28,83.33,1.28,4:18:07,:00:00,4:18:07,:06:39,4:24:46,7,2,:03:14,Nov_Fix_Res_Platinum,Nov_Res_Tech_Platinu,0,75,1,0,4:16:04,:02:03,:00:00,:06:37,:00:02,:00:00,:03:41
10/23/2021,Nov_Fix_Res_New,12,12,12,12,0,0,0,0,0,:03:38,:00:00,:00:00,:00:18,,,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,1,0,100.00,75.00,.00,75.00,.00,75.00,.00,83.33,.00,83.33,.00,:49:27,:00:01,:49:28,:01:02,:50:30,3,1,:01:22,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,12,0,0,:49:27,:00:00,:00:00,:01:02,:00:00,:00:00,:04:26
10/23/2021,Nov_Fix_Res_Gold,68,66,66,64,2,2,2,2,0,:11:22,:05:56,:04:05,:00:11,:02:58,:02:02,0,0,0,0,0,0,0,0,1,1,51,5,3,2,0,1,0,0,1,1,96.97,77.27,3.03,84.85,3.03,89.39,3.03,92.42,3.03,92.42,3.03,3:46:20,:00:05,3:46:25,:05:38,3:52:03,5,1,:04:33,Nov_Fix_Res_Platinum,Nov_Res_Tech_Other_s,0,64,0,0,3:46:20,:00:00,:00:00,:05:38,:00:00,:00:00,:03:39
10/23/2021,Nov_Fix_Res_Bronze,97,97,96,94,3,0,0,0,0,:28:12,:06:37,:00:00,:00:18,:02:12,,1,0,0,0,0,0,0,0,0,2,80,5,2,0,1,0,1,0,0,5,97.92,83.33,2.08,88.54,2.08,90.63,2.08,90.63,2.08,91.67,2.08,4:45:54,:00:21,4:46:15,:08:14,4:54:29,13,3,:06:11,Nov_Fix_Res_all_othe,Nov_Res_Tech_Other_s,0,92,2,0,4:35:08,:10:46,:00:00,:08:09,:00:05,:00:00,:03:19
10/23/2021,Nov_DVB_Prospect,59,59,59,54,5,0,0,0,0,:12:32,:16:48,:00:00,:00:14,:03:22,,0,0,0,0,0,0,0,0,1,4,49,1,0,0,0,1,1,0,0,2,91.53,83.05,8.47,84.75,8.47,84.75,8.47,84.75,8.47,84.75,8.47,4:21:38,:00:00,4:21:38,:03:49,4:25:27,1,1,:07:21,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,53,1,0,4:20:47,:00:51,:00:00,:03:47,:00:02,:00:00,:04:56
10/23/2021,Nov_DVB_Res_Silver,68,68,68,67,1,0,0,0,0,:13:59,:00:19,:00:00,:00:13,:00:19,,0,1,0,0,0,0,0,0,0,0,58,1,2,0,2,0,3,0,0,1,98.53,85.29,1.47,86.76,.00,89.71,.00,89.71,.00,92.65,.00,6:18:43,:00:00,6:18:43,:04:41,6:23:24,0,2,:04:01,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,67,0,0,6:18:43,:00:00,:00:00,:04:41,:00:00,:00:00,:05:47
10/23/2021,Nov_DVB_Res_Platinum,71,71,71,67,4,0,0,0,0,:08:02,:08:26,:00:00,:00:07,:02:06,,0,0,1,0,1,0,0,0,0,2,64,0,0,0,0,0,2,0,1,0,94.37,90.14,5.63,90.14,5.63,90.14,4.23,90.14,4.23,90.14,2.82,6:00:21,:00:00,6:00:21,:05:32,6:05:53,1,2,:04:20,Nov_DVB_Res_Platinum,Nov_Res_Tech_Platinu,0,67,0,0,6:00:21,:00:00,:00:00,:05:32,:00:00,:00:00,:05:18
10/23/2021,Nov_DVB_Res_New,9,9,9,9,0,0,0,0,0,:00:44,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:29:02,:00:00,:29:02,:00:28,:29:30,1,1,:00:10,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,9,0,0,:29:02,:00:00,:00:00,:00:28,:00:00,:00:00,:03:18
10/23/2021,Nov_DVB_Res_Gold,58,58,58,57,1,0,0,0,0,:16:09,:03:52,:00:00,:00:17,:03:52,,0,0,0,0,0,0,0,0,0,1,43,2,3,4,0,0,1,0,0,4,98.28,74.14,1.72,77.59,1.72,82.76,1.72,89.66,1.72,89.66,1.72,3:51:55,:00:00,3:51:55,:05:08,3:57:03,0,1,:03:52,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,57,0,0,3:51:55,:00:00,:00:00,:05:08,:00:00,:00:00,:04:21
10/23/2021,Nov_DVB_Res_Bronze,75,74,74,70,4,1,1,1,0,:28:11,:10:15,:01:06,:00:24,:02:34,:01:06,0,0,0,0,0,1,0,1,0,2,60,1,1,1,0,1,0,0,1,5,94.59,81.08,5.41,82.43,5.41,83.78,5.41,85.14,5.41,85.14,5.41,6:09:30,:00:00,6:09:30,:11:14,6:20:44,1,2,:09:39,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,70,0,0,6:09:30,:00:00,:00:00,:11:14,:00:00,:00:00,:05:27
10/23/2021,Nov_DVB_Pre_New,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:26,:00:00,:01:26,:00:03,:01:29,1,1,:00:05,Nov_DVB_Res_all_othe,Nov_Res_Tech_Other_s,0,1,0,0,:01:26,:00:00,:00:00,:00:03,:00:00,:00:00,:01:31
