VDN:,83632-83665;83685-83701;83729-83738;83741-83744
Date:,11/7/2021,ACD:,CMTN
Date,Time,,,Entered Calls,Offered Calls,Offered Calls net,Answered Calls,Abandoned Calls,Other Calls,Outflow Calls,Ronas,Interflow Calls,Answering t,Abandoning t,Otherwaiting t,Avg Answering t,Avg Abandoning t,Avg Otherwaiting t,Abandoned Calls 1,Abandoned Calls 2,Abandoned Calls 3,Abandoned Calls 4,Abandoned Calls 5,Abandoned Calls 6,Abandoned Calls 7,Abandoned Calls 8,Abandoned Calls 9,Abandoned Calls 10,Answered Calls 1,Answered Calls 2,Answered Calls 3,Answered Calls 4,Answered Calls 5,Answered Calls 6,Answered Calls 7,Answered Calls 8,Answered Calls 9,Answered Calls 10,% Performance,% SLA 10 sec.,% Aban > SLA 10 sec.,% SLA 20 sec.,% Aban > SLA 20 sec.,% SLA 30 sec.,% Aban > SLA 30 sec.,% SLA 40 sec.,% Aban > SLA 40 sec.,% SLA 50 sec.,% Aban > SLA 50 sec.,ACD t,Hold (inkl. Consult)  ACD t,ACD CD t,ACW ACD t,ACD Handle t,Transfers made,Max Calls Waiting,Max Waiting t,Skill 1,Skill 2,Skill 3,Answered Skill 1,Answered Skill 2,Answered Skill 3,ACD Skill 1 t,ACD Skill 2 t,ACD Skill 3 t,ACW Skill 1 t,ACW Skill 2 t,ACW Skill 3 t
Totals,,,,757,757,752,722,35,0,0,0,0,4:00:34,:54:26,:00:00,:00:20,:01:33,,5,1,0,4,3,2,2,0,3,15,563,26,15,18,21,12,11,9,5,42,96.01,74.87,3.99,78.32,3.86,80.32,3.86,82.71,3.32,85.51,2.93,58:25:40,:12:00,58:37:40,7:02:16,65:39:56,43,3,:08:02,,,,714,8,0,58:00:31,:25:09,:00:00,7:01:58,:00:18,:00:00
11/7/2021,12:00 AM,-,00:15,2,2,2,2,0,0,0,0,0,:00:10,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:09:37,:00:00,:09:37,:00:12,:09:49,0,1,:00:06,,,,2,0,0,:09:37,:00:00,:00:00,:00:12,:00:00,:00:00
11/7/2021,12:15 AM,-,00:30,1,1,1,1,0,0,0,0,0,:00:08,:00:00,:00:00,:00:08,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:18:47,:00:00,:18:47,:00:03,:18:50,0,1,:00:08,,,,1,0,0,:18:47,:00:00,:00:00,:00:03,:00:00,:00:00
11/7/2021,12:30 AM,-,00:45,1,1,1,1,0,0,0,0,0,:00:07,:00:00,:00:00,:00:07,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:02:38,:00:00,:02:38,:00:05,:02:43,0,1,:00:07,,,,1,0,0,:02:38,:00:00,:00:00,:00:05,:00:00,:00:00
11/7/2021,12:45 AM,-,01:00,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/7/2021,1:00 AM,-,01:15,4,4,4,4,0,0,0,0,0,:03:22,:00:00,:00:00,:00:51,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,100.00,50.00,.00,75.00,.00,75.00,.00,75.00,.00,75.00,.00,:13:55,:00:00,:13:55,:00:11,:14:06,0,1,:02:59,,,,1,3,0,:04:32,:09:23,:00:00,:00:05,:00:06,:00:00
11/7/2021,1:45 AM,-,02:00,1,1,1,1,0,0,0,0,0,:00:05,:00:00,:00:00,:00:05,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:01:20,:00:00,:01:20,:00:03,:01:23,0,1,:00:05,,,,0,1,0,:00:00,:01:20,:00:00,:00:00,:00:03,:00:00
11/7/2021,6:15 AM,-,06:30,1,1,1,1,0,0,0,0,0,:00:07,:00:00,:00:00,:00:07,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:00:01,:00:00,:00:01,6:03:26,6:03:27,0,0,:00:07,,,,1,0,0,:00:01,:00:00,:00:00,6:03:26,:00:00,:00:00
11/7/2021,6:30 AM,-,06:45,1,1,1,1,0,0,0,0,0,:00:04,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:04:46,:00:00,:04:46,:00:02,:04:48,0,1,:00:04,,,,0,1,0,:00:00,:04:46,:00:00,:00:00,:00:02,:00:00
11/7/2021,6:45 AM,-,07:00,1,1,1,1,0,0,0,0,0,:01:05,:00:00,:00:00,:01:05,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,:03:35,:00:00,:03:35,:00:02,:03:37,0,1,:01:05,,,,0,1,0,:00:00,:03:35,:00:00,:00:00,:00:02,:00:00
11/7/2021,7:00 AM,-,07:15,2,2,2,2,0,0,0,0,0,:00:06,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:06:05,:00:00,:06:05,:00:05,:06:10,0,1,:00:03,,,,0,2,0,:00:00,:06:05,:00:00,:00:00,:00:05,:00:00
11/7/2021,7:15 AM,-,07:30,1,1,1,1,0,0,0,0,0,:00:02,:00:00,:00:00,:00:02,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:09:17,:00:00,:09:17,:00:06,:09:23,0,1,:00:02,,,,1,0,0,:09:17,:00:00,:00:00,:00:06,:00:00,:00:00
11/7/2021,7:30 AM,-,07:45,0,0,0,0,0,0,0,0,0,:00:00,:00:00,:00:00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,:00:00,:00:00,:00:00,:00:00,:00:00,0,1,:00:00,,,,0,0,0,:00:00,:00:00,:00:00,:00:00,:00:00,:00:00
11/7/2021,7:45 AM,-,08:00,3,3,3,2,1,0,0,0,0,:00:07,:01:04,:00:00,:00:04,:01:04,,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,66.67,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,66.67,33.33,:10:56,:00:00,:10:56,:00:12,:11:08,0,1,:01:04,,,,2,0,0,:10:56,:00:00,:00:00,:00:12,:00:00,:00:00
11/7/2021,8:00 AM,-,08:15,2,2,2,2,0,0,0,0,0,:00:06,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:03:34,:00:00,:03:34,:00:12,:03:46,0,1,:00:04,,,,2,0,0,:03:34,:00:00,:00:00,:00:12,:00:00,:00:00
11/7/2021,8:15 AM,-,08:30,4,4,4,4,0,0,0,0,0,:00:16,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:18:43,:00:00,:18:43,:00:20,:19:03,0,1,:00:06,,,,4,0,0,:18:43,:00:00,:00:00,:00:20,:00:00,:00:00
11/7/2021,8:30 AM,-,08:45,3,3,3,3,0,0,0,0,0,:00:11,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:10:00,:00:00,:10:00,:00:15,:10:15,0,1,:00:05,,,,3,0,0,:10:00,:00:00,:00:00,:00:15,:00:00,:00:00
11/7/2021,8:45 AM,-,09:00,1,1,1,1,0,0,0,0,0,:00:03,:00:00,:00:00,:00:03,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:15:02,:00:00,:15:02,:00:03,:15:05,0,1,:00:03,,,,1,0,0,:15:02,:00:00,:00:00,:00:03,:00:00,:00:00
11/7/2021,9:00 AM,-,09:15,6,6,6,6,0,0,0,0,0,:00:23,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:32:56,:00:00,:32:56,:00:27,:33:23,0,1,:00:06,,,,6,0,0,:32:56,:00:00,:00:00,:00:27,:00:00,:00:00
11/7/2021,9:15 AM,-,09:30,10,10,10,10,0,0,0,0,0,:00:58,:00:00,:00:00,:00:06,,,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,100.00,90.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:36:47,:00:00,:36:47,:00:42,:37:29,0,1,:00:13,,,,10,0,0,:36:47,:00:00,:00:00,:00:42,:00:00,:00:00
11/7/2021,9:30 AM,-,09:45,5,5,5,5,0,0,0,0,0,:00:21,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:15:51,:00:00,:15:51,:00:20,:16:11,0,1,:00:06,,,,5,0,0,:15:51,:00:00,:00:00,:00:20,:00:00,:00:00
11/7/2021,9:45 AM,-,10:00,9,9,9,9,0,0,0,0,0,:00:36,:00:00,:00:00,:00:04,,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,100.00,.00,:21:17,:00:00,:21:17,:00:40,:21:57,1,1,:00:07,,,,9,0,0,:21:17,:00:00,:00:00,:00:40,:00:00,:00:00
11/7/2021,10:00 AM,-,10:15,15,15,15,15,0,0,0,0,0,:03:23,:00:00,:00:00,:00:14,,,0,0,0,0,0,0,0,0,0,0,11,0,2,1,0,0,0,1,0,0,100.00,73.33,.00,73.33,.00,86.67,.00,93.33,.00,93.33,.00,1:09:01,:00:14,1:09:15,:01:03,1:10:18,1,1,:01:12,,,,15,0,0,1:09:01,:00:00,:00:00,:01:03,:00:00,:00:00
11/7/2021,10:15 AM,-,10:30,14,14,14,13,1,0,0,0,0,:11:45,:02:36,:00:00,:00:54,:02:36,,0,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,0,1,3,92.86,42.86,7.14,42.86,7.14,42.86,7.14,42.86,7.14,64.29,7.14,1:17:26,:06:54,1:24:20,:01:03,1:25:23,1,2,:03:31,,,,13,0,0,1:17:26,:00:00,:00:00,:01:03,:00:00,:00:00
11/7/2021,10:30 AM,-,10:45,22,22,22,13,9,0,0,0,0,:16:36,:19:57,:00:00,:01:17,:02:13,,0,1,0,1,1,0,0,0,0,6,2,0,0,3,0,1,0,1,0,6,59.09,9.09,40.91,9.09,36.36,9.09,36.36,22.73,31.82,22.73,27.27,1:06:00,:00:00,1:06:00,:01:01,1:07:01,0,3,:04:12,,,,13,0,0,1:06:00,:00:00,:00:00,:01:01,:00:00,:00:00
11/7/2021,10:45 AM,-,11:00,17,17,16,14,3,0,0,0,0,:14:13,:01:16,:00:00,:01:01,:00:25,,1,0,0,2,0,0,0,0,0,0,3,0,0,1,1,2,2,1,1,3,87.50,18.75,12.50,18.75,12.50,18.75,12.50,25.00,.00,31.25,.00,1:21:17,:00:01,1:21:18,:00:59,1:22:17,1,1,:02:39,,,,14,0,0,1:21:17,:00:00,:00:00,:00:59,:00:00,:00:00
11/7/2021,11:00 AM,-,11:15,15,15,15,12,3,0,0,0,0,:07:14,:03:51,:00:00,:00:36,:01:17,,0,0,0,0,1,0,0,0,1,1,7,1,1,0,1,0,0,0,0,2,80.00,46.67,20.00,53.33,20.00,60.00,20.00,60.00,20.00,66.67,13.33,:46:29,:00:00,:46:29,:00:49,:47:18,0,2,:03:06,,,,12,0,0,:46:29,:00:00,:00:00,:00:49,:00:00,:00:00
11/7/2021,11:15 AM,-,11:30,11,11,11,11,0,0,0,0,0,:16:24,:00:00,:00:00,:01:29,,,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,1,0,4,100.00,27.27,.00,27.27,.00,27.27,.00,36.36,.00,36.36,.00,1:18:00,:00:00,1:18:00,:00:50,1:18:50,2,2,:04:42,,,,11,0,0,1:18:00,:00:00,:00:00,:00:50,:00:00,:00:00
11/7/2021,11:30 AM,-,11:45,15,15,15,15,0,0,0,0,0,:17:26,:00:00,:00:00,:01:10,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,1,0,2,100.00,66.67,.00,66.67,.00,66.67,.00,66.67,.00,73.33,.00,1:19:55,:00:00,1:19:55,:01:07,1:21:02,2,2,:08:02,,,,15,0,0,1:19:55,:00:00,:00:00,:01:07,:00:00,:00:00
11/7/2021,11:45 AM,-,12:00,16,16,16,14,2,0,0,0,0,:04:23,:03:34,:00:00,:00:19,:01:47,,0,0,0,0,0,0,0,0,0,2,9,0,1,1,1,0,1,1,0,0,87.50,56.25,12.50,56.25,12.50,62.50,12.50,68.75,12.50,75.00,12.50,1:17:39,:00:00,1:17:39,:01:00,1:18:39,1,1,:02:02,,,,14,0,0,1:17:39,:00:00,:00:00,:01:00,:00:00,:00:00
